,Year,Min_AQI,Max_AQI,Median_AQI,Avg_AQI,Mode_AQI,AQI_Rank
0,1985,23.0,55.0,38.0,39.8,23.0,2.0
1,1986,9.0,67.0,35.0,37.0,30.0,4.0
2,1987,8.0,37.0,21.0,21.545454545454547,23.0,31.0
3,1988,6.0,69.0,22.0,26.88888888888889,13.0,21.0
4,1989,7.0,42.0,17.0,18.423076923076923,12.0,33.0
5,1990,11.0,54.0,25.0,25.96,25.0,25.0
6,1991,9.0,59.0,21.0,26.742857142857144,19.0,23.0
7,1992,7.0,89.0,27.0,31.595744680851062,13.0,12.0
8,1993,10.0,77.0,31.0,36.4390243902439,25.0,6.0
9,1994,5.0,64.0,28.5,32.23684210526316,19.0,11.0
10,1995,8.0,97.0,23.0,30.358974358974358,31.0,15.0
11,1996,6.0,60.0,31.0,32.707317073170735,29.0,10.0
12,1997,8.0,55.0,25.0,27.571428571428573,19.0,20.0
13,1998,0.0,59.0,31.0,27.977777777777778,1.0,19.0
14,1999,2.0,54.0,6.0,10.725714285714286,6.0,38.0
15,2000,1.0,167.0,6.0,15.696132596685082,5.0,35.0
16,2001,2.0,68.0,5.0,11.527173913043478,3.0,37.0
17,2002,2.0,49.0,5.0,10.61413043478261,3.0,39.0
18,2003,1.0,94.0,5.0,11.785310734463277,3.0,36.0
19,2004,2.0,155.0,23.0,25.141304347826086,15.0,27.0
20,2005,1.0,56.0,17.0,18.01086956521739,2.0,34.0
21,2006,1.0,188.0,23.0,30.22826086956522,15.0,16.0
22,2007,3.0,174.0,25.0,31.059782608695652,13.0,13.0
23,2008,1.0,66.0,22.0,25.358695652173914,13.0,26.0
24,2009,11.0,59.0,28.5,29.597826086956523,17.0,18.0
25,2010,7.0,63.0,20.5,22.972826086956523,20.0,30.0
26,2011,5.0,71.0,31.0,32.72826086956522,33.0,9.0
27,2012,0.0,138.0,29.0,37.369565217391305,8.0,3.0
28,2013,6.0,58.0,23.0,24.097826086956523,20.0,29.0
29,2014,4.0,85.0,24.0,26.380434782608695,18.0,24.0
30,2015,2.0,174.0,23.0,29.70108695652174,23.0,17.0
31,2016,8.0,365.0,25.5,36.72282608695652,25.0,5.0
32,2017,4.0,152.0,24.0,34.47826086956522,24.0,7.0
33,2018,4.0,153.0,23.0,30.690217391304348,18.0,14.0
34,2019,2.0,64.0,24.0,24.815217391304348,30.0,28.0
35,2020,2.0,159.0,24.5,33.36413043478261,10.0,8.0
36,2021,4.0,156.0,39.0,50.32065217391305,28.0,1.0
37,2022,8.0,148.0,20.5,26.76086956521739,18.0,22.0
38,2023,3.0,98.0,17.5,20.31451612903226,16.0,32.0
