ID Group,Group,ID Industry,Industry,ID Year,Year,ID State,State,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,ACS Industry yg RCA,Geography,ID Geography,Slug Geography,Median Earnings,Median Earnings Moe,Workforce Prev,Workforce Growth,Median Earnings Prev,Median Earnings Growth,Share
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2021,2021,04000US30,Montana,463,159.5117551,1.225768293,"Bozeman, MT",16000US3008950,bozeman-mt,59354,11681,361,28.25484765,49197,20.64556782,1.472974263
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2021,2021,04000US30,Montana,32,43.60045871,0.2222977,"Bozeman, MT",16000US3008950,bozeman-mt,115395,66077,54,-40.74074074,250001,-53.84218463,0.101803837
1,Construction (Group),2,Construction,2021,2021,04000US30,Montana,2493,423.2493355,1.165645569,"Bozeman, MT",16000US3008950,bozeman-mt,71843,27307,2454,1.589242054,73103,-1.723595475,7.931155155
2,Manufacturing (Group),3,Manufacturing,2021,2021,04000US30,Montana,2149,429.923249,0.682164482,"Bozeman, MT",16000US3008950,bozeman-mt,77654,8636,2178,-1.331496786,73820,5.193714441,6.836763911
3,Wholesale Trade (Group),4,Wholesale Trade,2021,2021,04000US30,Montana,368,196.7358635,0.47080335,"Bozeman, MT",16000US3008950,bozeman-mt,63972,144374,306,20.26143791,23676,170.1976685,1.170744122
4,Retail Trade (Group),5,Retail Trade,2021,2021,04000US30,Montana,4326,564.0567347,1.256436024,"Bozeman, MT",16000US3008950,bozeman-mt,43629,10274,4205,2.877526754,42556,2.521383589,13.76260618
5,"Transportation & Warehousing, & Utilities",6,Transportation & Warehousing,2021,2021,04000US30,Montana,776,289.9275772,0.511792746,"Bozeman, MT",16000US3008950,bozeman-mt,51683,12802,764,1.570680628,49010,5.453988982,2.468743041
5,"Transportation & Warehousing, & Utilities",7,Utilities,2021,2021,04000US30,Montana,116,81.3019065,0.444368955,"Bozeman, MT",16000US3008950,bozeman-mt,77946,23890,106,9.433962264,106586,-26.87032068,0.369038908
6,Information (Group),8,Information,2021,2021,04000US30,Montana,194,82.20097323,0.320703071,"Bozeman, MT",16000US3008950,bozeman-mt,80010,77721,164,18.29268293,60833,31.52400835,0.61718576
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,Finance & Insurance,2021,2021,04000US30,Montana,821,316.6322788,0.551450846,"Bozeman, MT",16000US3008950,bozeman-mt,87421,32277,972,-15.53497942,81003,7.92316334,2.611904686
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,Real Estate & Rental & Leasing,2021,2021,04000US30,Montana,769,255.415348,1.27476464,"Bozeman, MT",16000US3008950,bozeman-mt,61807,31899,688,11.77325581,70334,-12.12358177,2.446473451
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2021,2021,04000US30,Montana,3305,425.8192105,1.37600631,"Bozeman, MT",16000US3008950,bozeman-mt,110452,14319,3016,9.582228117,116850,-5.475395807,10.51442751
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,Management of Companies & Enterprises,2021,2021,04000US30,Montana,19,23.76972865,0.425084417,"Bozeman, MT",16000US3008950,bozeman-mt,,,17,11.76470588,,NaN,0.060446028
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,Administrative & Support & Waste Management Services,2021,2021,04000US30,Montana,543,199.6496932,0.414902014,"Bozeman, MT",16000US3008950,bozeman-mt,56063,21550,546,-0.549450549,51809,8.210928603,1.727483855
9,"Educational Services, & Health Care & Social Assistance",14,Educational Services,2021,2021,04000US30,Montana,4852,623.6834133,1.654054086,"Bozeman, MT",16000US3008950,bozeman-mt,55068,18994,4293,13.0211973,43132,27.67318928,15.43600674
9,"Educational Services, & Health Care & Social Assistance",15,Health Care & Social Assistance,2021,2021,04000US30,Montana,3379,588.1037323,0.767745956,"Bozeman, MT",16000US3008950,bozeman-mt,83870,25415,2882,17.24496877,88648,-5.389856511,10.74984888
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2021,2021,04000US30,Montana,1182,427.1030321,1.794692783,"Bozeman, MT",16000US3008950,bozeman-mt,50340,37465,1186,-0.337268128,50785,-0.876242985,3.760379219
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,Accommodation & Food Services,2021,2021,04000US30,Montana,3404,509.4173142,1.544173281,"Bozeman, MT",16000US3008950,bozeman-mt,35970,7286,3334,2.099580084,29913,20.24872129,10.82938313
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2021,2021,04000US30,Montana,1697,391.3489491,1.136070384,"Bozeman, MT",16000US3008950,bozeman-mt,,,1658,2.352231604,,NaN,5.398784717
12,Public Administration (Group),19,Public Administration,2021,2021,04000US30,Montana,545,180.4050997,0.369070849,"Bozeman, MT",16000US3008950,bozeman-mt,104324,24465,525,3.80952381,95108,9.69003659,1.733846594
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2020,2020,04000US30,Montana,361,114.9782588,0.990502604,"Bozeman, MT",16000US3008950,bozeman-mt,49197,26812,330,9.393939394,47978,2.540747843,1.215119997
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2020,2020,04000US30,Montana,54,63.3245608,0.379817812,"Bozeman, MT",16000US3008950,bozeman-mt,250001,,83,-34.93975904,110795,125.6428539,0.181763102
1,Construction (Group),2,Construction,2020,2020,04000US30,Montana,2454,392.4410784,1.236211549,"Bozeman, MT",16000US3008950,bozeman-mt,73103,58855,2468,-0.56726094,67956,7.574018483,8.260123195
2,Manufacturing (Group),3,Manufacturing,2020,2020,04000US30,Montana,2178,461.3458572,0.731770381,"Bozeman, MT",16000US3008950,bozeman-mt,73820,6558,1816,19.9339207,52715,40.03604287,7.331111784
3,Wholesale Trade (Group),4,Wholesale Trade,2020,2020,04000US30,Montana,306,122.6417547,0.404263367,"Bozeman, MT",16000US3008950,bozeman-mt,23676,26562,347,-11.81556196,192438,-87.69681664,1.029990912
4,Retail Trade (Group),5,Retail Trade,2020,2020,04000US30,Montana,4205,502.8916384,1.283184501,"Bozeman, MT",16000US3008950,bozeman-mt,42556,12125,4233,-0.661469407,38504,10.52358197,14.15396008
5,"Transportation & Warehousing, & Utilities",6,Transportation & Warehousing,2020,2020,04000US30,Montana,764,279.4154613,0.549869402,"Bozeman, MT",16000US3008950,bozeman-mt,49010,18232,705,8.368794326,53020,-7.563183704,2.571611296
5,"Transportation & Warehousing, & Utilities",7,Utilities,2020,2020,04000US30,Montana,106,75.58438992,0.432406277,"Bozeman, MT",16000US3008950,bozeman-mt,106586,70367,90,17.77777778,107796,-1.12249063,0.356794237
6,Information (Group),8,Information,2020,2020,04000US30,Montana,164,77.3369252,0.280603993,"Bozeman, MT",16000US3008950,bozeman-mt,60833,59041,171,-4.093567251,72386,-15.96026856,0.552021273
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,Finance & Insurance,2020,2020,04000US30,Montana,972,334.5922892,0.699843439,"Bozeman, MT",16000US3008950,bozeman-mt,81003,15890,895,8.603351955,102414,-20.9063214,3.271735838
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,Real Estate & Rental & Leasing,2020,2020,04000US30,Montana,688,206.2353025,1.190867788,"Bozeman, MT",16000US3008950,bozeman-mt,70334,26961,615,11.8699187,73676,-4.536076877,2.31579656
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2020,2020,04000US30,Montana,3016,459.7956068,1.366991453,"Bozeman, MT",16000US3008950,bozeman-mt,116850,19174,2630,14.67680608,108341,7.853905724,10.15180585
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,Management of Companies & Enterprises,2020,2020,04000US30,Montana,17,21.84032967,0.411689227,"Bozeman, MT",16000US3008950,bozeman-mt,,,15,13.33333333,,NaN,0.057221717
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,Administrative & Support & Waste Management Services,2020,2020,04000US30,Montana,546,159.0125781,0.439489163,"Bozeman, MT",16000US3008950,bozeman-mt,51809,15397,572,-4.545454545,54889,-5.611324673,1.837826921
9,"Educational Services, & Health Care & Social Assistance",14,Educational Services,2020,2020,04000US30,Montana,4293,469.8350774,1.551740559,"Bozeman, MT",16000US3008950,bozeman-mt,43132,10564,4529,-5.210863325,45808,-5.841774363,14.45016662
9,"Educational Services, & Health Care & Social Assistance",15,Health Care & Social Assistance,2020,2020,04000US30,Montana,2882,470.9925689,0.69374198,"Bozeman, MT",16000US3008950,bozeman-mt,88648,65112,2730,5.567765568,78033,13.60321915,9.700764078
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2020,2020,04000US30,Montana,1186,376.4465433,1.851612689,"Bozeman, MT",16000US3008950,bozeman-mt,50785,29501,998,18.83767535,37050,37.07152497,3.992056279
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,Accommodation & Food Services,2020,2020,04000US30,Montana,3334,440.1136217,1.549394851,"Bozeman, MT",16000US3008950,bozeman-mt,29913,9776,3410,-2.228739003,29503,1.389689184,11.22218856
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2020,2020,04000US30,Montana,1658,335.5547645,1.157416165,"Bozeman, MT",16000US3008950,bozeman-mt,,,1423,16.51440618,,NaN,5.580800431
